Time;GPS4;GPS5;GPS9;GPS11;GPS12;GPS18;GPS20;GPS25;GPS26;GPS28;GPS29;GPS31;GLONASS2;GLONASS3;GLONASS4;GLONASS9;GLONASS10;GLONASS11;GLONASS21;GLONASS25;
24.04.2024 09:20:42.300;0;44;0;39;43;44;44;48;38;46;47;41;0;0;0;44;40;38;41;0;
24.04.2024 09:20:42.400;0;44;0;38;43;44;44;48;38;46;47;41;0;0;0;44;40;39;41;0;
24.04.2024 09:20:42.500;0;44;0;37;43;43;44;47;38;46;47;41;0;0;0;44;39;39;40;0;
24.04.2024 09:20:42.600;0;44;0;39;43;44;44;48;37;46;47;41;0;0;0;44;39;38;40;0;
24.04.2024 09:20:42.700;0;44;0;38;43;44;44;48;38;46;47;41;0;0;0;44;39;38;41;0;
24.04.2024 09:20:42.800;0;44;0;38;43;43;44;47;38;46;47;41;0;0;0;44;40;38;41;0;
24.04.2024 09:20:42.900;0;44;0;38;43;43;44;47;38;46;47;41;0;0;0;43;39;38;41;0;
24.04.2024 09:20:43.000;0;44;0;38;43;44;44;48;38;46;47;41;0;0;0;43;39;38;41;0;
24.04.2024 09:20:43.100;0;44;0;38;43;44;44;48;37;46;47;41;0;0;0;44;40;38;40;0;
24.04.2024 09:20:43.200;0;44;0;38;43;44;44;47;37;46;47;41;0;0;0;43;39;37;40;0;
24.04.2024 09:20:43.300;0;44;0;38;43;44;44;48;38;47;47;42;0;0;0;43;39;37;40;0;
24.04.2024 09:20:43.400;0;44;0;38;43;44;44;48;38;47;47;41;0;0;0;43;40;38;40;0;
24.04.2024 09:20:43.500;0;44;0;38;43;44;44;48;38;46;47;42;0;0;0;43;40;38;41;0;
24.04.2024 09:20:43.600;0;44;0;38;43;44;44;48;38;46;47;42;0;0;0;43;39;38;41;0;
24.04.2024 09:20:43.700;0;44;0;38;43;44;44;48;37;46;47;41;0;0;0;43;40;38;41;0;
24.04.2024 09:20:43.800;0;44;0;38;43;44;44;48;38;46;47;41;0;0;0;44;39;38;41;0;
24.04.2024 09:20:43.900;0;44;0;38;43;44;44;48;38;46;47;41;0;0;0;44;39;38;41;0;
24.04.2024 09:20:44.000;0;44;0;38;43;44;44;48;38;46;47;41;0;0;0;44;40;38;41;0;
24.04.2024 09:20:44.100;0;44;0;38;43;44;44;48;37;46;47;41;0;0;0;43;40;38;40;0;
24.04.2024 09:20:44.200;0;44;0;37;44;44;43;47;38;46;47;42;0;0;0;43;40;38;40;0;
24.04.2024 09:20:44.300;0;45;0;38;44;44;44;47;38;46;48;42;0;0;0;44;40;38;41;0;
24.04.2024 09:20:44.400;0;45;0;38;43;43;43;47;38;45;47;42;0;0;0;43;40;38;41;0;
24.04.2024 09:20:44.500;0;45;0;37;43;43;43;47;37;45;47;42;0;0;0;44;39;38;40;0;
24.04.2024 09:20:44.600;0;45;0;37;44;43;43;46;37;45;47;42;0;0;0;43;39;37;40;0;
24.04.2024 09:20:44.700;0;44;0;37;44;43;44;47;37;46;47;42;0;0;0;44;40;37;41;0;
24.04.2024 09:20:44.800;0;44;0;38;44;43;44;48;38;46;47;42;0;0;0;44;39;38;41;0;
24.04.2024 09:20:44.900;0;45;0;38;44;44;45;48;38;46;47;42;0;0;0;43;39;38;41;0;
