Time;GPS5;GPS16;GPS18;GPS20;GPS23;GPS25;GPS26;GPS29;GPS31;GLONASS3;GLONASS4;GLONASS5;GLONASS10;GLONASS11;GLONASS12;GLONASS21;GLONASS25;
24.04.2024 10:49:22.000;44;32;44;38;40;39;45;0;30;0;37;40;0;41;33;41;0;
24.04.2024 10:49:22.100;44;32;44;38;40;37;44;0;30;0;37;39;0;42;33;41;0;
24.04.2024 10:49:22.200;44;32;44;38;40;38;45;0;31;0;37;39;0;42;33;41;0;
24.04.2024 10:49:22.300;45;33;44;38;40;39;45;0;31;0;37;40;0;42;33;41;0;
24.04.2024 10:49:22.400;45;33;45;38;40;38;45;0;31;0;37;40;0;42;33;41;0;
24.04.2024 10:49:22.500;45;32;45;38;40;39;45;0;31;0;37;40;0;43;33;41;0;
24.04.2024 10:49:22.600;45;32;45;38;41;39;45;0;31;0;37;40;0;42;34;41;0;
24.04.2024 10:49:22.700;45;32;45;38;40;39;45;0;32;0;37;40;0;42;34;41;0;
24.04.2024 10:49:22.800;45;32;46;38;41;39;46;0;32;0;38;40;0;43;34;41;0;
24.04.2024 10:49:22.900;45;33;45;38;40;40;45;0;32;0;38;41;0;42;35;41;0;
24.04.2024 10:49:23.000;45;33;46;39;41;40;46;0;32;0;38;41;0;42;35;42;0;
24.04.2024 10:49:23.100;45;33;46;39;41;39;46;0;32;0;38;41;0;42;35;42;0;
24.04.2024 10:49:23.200;45;32;46;39;41;40;46;0;34;0;38;41;0;42;35;42;0;
24.04.2024 10:49:23.300;45;32;45;39;41;39;46;0;34;0;38;40;0;42;35;42;0;
24.04.2024 10:49:23.400;45;32;46;38;40;38;46;0;34;0;38;40;0;41;35;41;0;
24.04.2024 10:49:23.500;46;33;46;39;41;42;46;0;34;0;38;40;0;42;34;41;0;
24.04.2024 10:49:23.600;45;33;46;39;42;38;46;0;33;0;38;40;0;42;34;41;0;
24.04.2024 10:49:23.700;45;33;45;39;41;40;46;45;33;0;38;40;0;42;34;42;0;
24.04.2024 10:49:23.800;45;32;46;39;42;40;46;45;34;0;38;40;0;42;35;42;0;
24.04.2024 10:49:23.900;46;31;46;40;41;38;46;45;34;0;38;39;0;43;35;42;0;
24.04.2024 10:49:24.000;46;31;46;40;41;41;46;45;34;0;38;39;0;42;35;42;0;
24.04.2024 10:49:24.100;46;31;46;40;41;39;46;45;34;0;38;39;0;43;35;42;0;
24.04.2024 10:49:24.200;46;33;46;40;42;39;46;45;34;0;38;39;0;42;35;42;0;
24.04.2024 10:49:24.300;46;33;46;41;41;40;46;45;34;0;38;38;0;42;35;42;0;
