Time;GPS3;GPS6;GPS11;GPS12;GPS17;GPS19;GPS24;GPS25;GPS29;GPS32;GLONASS1;GLONASS8;GLONASS9;GLONASS10;GLONASS11;GLONASS16;GLONASS18;GLONASS20;GLONASS26;
13.02.2024 11:01:52.900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:53.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:53.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:53.200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:53.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:53.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:54.900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:55.900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:56.900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:57.900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.02.2024 11:01:58.600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
