Time,"X, m","Y, m","Z, m","RMS, m",PDOP,TOffset,NumSat
0.0,"2847815,2972","2279684,2208","5214614,5445","2,07381510734558","1,525","125177,860",14
0.1,"2847815,2550","2279684,5411","5214614,7593","2,20843696594238","1,525","125176,849",14
0.2,"2847814,9581","2279684,7706","5214614,6468","1,98886907100678","1,525","125175,433",14
0.3,"2847815,3064","2279685,3685","5214615,1258","2,06914877891541","1,524","125174,441",14
0.4,"2847815,2843","2279684,9791","5214615,0666","2,31284499168396","1,524","125172,912",14
0.5,"2847814,5779","2279685,3020","5214614,6553","2,40416097640991","1,524","125171,168",14
0.6,"2847813,6585","2279685,0043","5214614,0402","2,3056206703186","1,524","125169,405",14
0.7,"2847813,4969","2279685,3912","5214614,0765","2,06393074989319","1,524","125167,954",14
0.8,"2847813,1552","2279685,4804","5214614,9233","2,26723146438599","1,524","125166,704",14
0.9,"2847814,3294","2279685,8192","5214615,3543","1,97758638858795","1,524","125165,474",14
1.0,"2847814,2679","2279685,5815","5214615,2129","1,88024139404297","1,524","125163,956",14
1.1,"2847814,3234","2279685,5705","5214615,4337","1,90458393096924","1,524","125162,533",14
1.2,"2847814,2138","2279685,4865","5214616,8369","1,81345367431641","1,715","125161,820",13
1.3,"2847815,1141","2279685,9472","5214615,5878","1,77955031394958","1,524","125159,852",14
1.4,"2847814,6398","2279686,0253","5214615,7000","1,74833583831787","1,524","125158,410",14
1.5,"2847814,6797","2279685,5449","5214615,0334","1,86071419715881","1,524","125156,125",14
1.6,"2847814,6293","2279685,3018","5214615,1024","1,87620484828949","1,524","125154,483",14
1.7,"2847815,3448","2279685,3034","5214616,0229","2,05898690223694","1,715","125153,574",13
1.8,"2847815,1342","2279684,4812","5214615,8698","2,37539887428284","1,715","125151,922",13
1.9,"2847814,7965","2279683,9516","5214615,7508","2,50039124488831","1,715","125150,499",13
2.0,"2847816,0288","2279683,6577","5214614,6077","2,39862775802612","1,524","125148,285",14
2.1,"2847815,4858","2279684,0959","5214614,4000","2,1279284954071","1,524","125146,445",14
2.2,"2847815,3646","2279684,0389","5214615,1886","2,16549611091614","1,715","125145,462",13
2.3,"2847814,3751","2279683,9780","5214614,5101","2,28812313079834","1,715","125143,499",13
2.4,"2847814,7968","2279683,7794","5214613,7575","2,64279818534851","1,524","125141,755",14
2.5,"2847814,2297","2279683,8000","5214614,1420","2,51727771759033","1,524","125140,299",14
2.6,"2847814,3594","2279684,1298","5214614,5541","2,52113437652588","1,524","125138,901",14
2.7,"2847814,3894","2279684,2606","5214614,4835","2,59724879264832","1,524","125137,327",14
2.8,"2847814,2047","2279684,5401","5214614,8336","2,67458200454712","1,524","125135,949",14
2.9,"2847814,7503","2279684,1191","5214614,6284","2,45613312721252","1,524","125133,990",14
3.0,"2847815,3700","2279683,7510","5214615,5060","2,78841257095337","1,524","125132,736",14
3.1,"2847815,5507","2279684,0785","5214615,1694","2,44101476669312","1,524","125131,228",14
3.2,"2847815,7119","2279684,2496","5214615,1853","2,34171223640442","1,524","125129,474",14
3.3,"2847816,0321","2279683,9701","5214615,0011","2,28583598136902","1,524","125128,118",14
3.4,"2847815,4085","2279683,8272","5214614,9806","2,61672258377075","1,524","125126,800",14
3.5,"2847815,0718","2279684,4152","5214614,8940","2,58970355987549","1,524","125125,395",14
3.6,"2847814,2483","2279684,7892","5214615,5727","2,3840012550354","1,524","125124,321",14
3.7,"2847814,1900","2279684,4930","5214615,1509","2,33794045448303","1,524","125122,490",14
3.8,"2847813,7153","2279684,5250","5214615,2554","2,280428647995","1,524","125121,295",14
3.9,"2847814,2273","2279684,6764","5214615,3154","2,14898300170898","1,524","125119,997",14
4.0,"2847814,5081","2279684,6367","5214615,2585","2,25322127342224","1,524","125118,480",14
4.1,"2847814,7655","2279684,5519","5214616,1161","2,2080614566803","1,524","125117,001",14
4.2,"2847814,8058","2279685,2885","5214616,0261","2,23806238174438","1,524","125115,546",14
4.3,"2847813,9421","2279685,0865","5214615,8296","2,14279580116272","1,524","125113,886",14
4.4,"2847814,0111","2279685,0337","5214615,6250","2,12566685676575","1,524","125112,157",14
4.5,"2847813,9100","2279684,3488","5214615,8566","1,98455822467804","1,524","125110,746",14
4.6,"2847814,0732","2279684,8017","5214616,1848","2,18193459510803","1,524","125109,523",14
4.7,"2847814,7257","2279688,5267","5214614,4297","5,55541753768921","1,465","125109,231",14
4.8,"2847814,9675","2279688,2679","5214614,5192","5,0878701210022","1,465","125107,764",14
4.9,"2847814,3074","2279688,1600","5214614,9353","4,72189378738403","1,465","125106,343",14
5.0,"2847814,8989","2279687,9711","5214615,3688","4,01777410507202","1,465","125104,683",14
5.1,"2847814,7060","2279687,5919","5214615,2734","3,70446705818176","1,465","125102,817",14
5.2,"2847814,4395","2279687,4036","5214615,5298","3,02711248397827","1,465","125101,278",14
5.3,"2847814,6898","2279687,0928","5214615,1731","2,63448238372803","1,465","125099,478",14
5.4,"2847815,0017","2279686,6204","5214615,1370","2,21130967140198","1,465","125097,755",14
5.5,"2847814,6981","2279686,3762","5214615,3880","2,01310396194458","1,465","125096,198",14
5.6,"2847814,2657","2279686,2409","5214615,4133","1,92492616176605","1,465","125094,680",14
5.7,"2847814,6633","2279686,0958","5214615,5326","2,03308606147766","1,465","125093,095",14
5.8,"2847814,1160","2279685,6915","5214615,7147","2,36357474327087","1,638","125091,506",13
5.9,"2847815,1017","2279685,1075","5214615,9650","1,85899150371552","1,465","125089,722",14
6.0,"2847815,1663","2279685,3587","5214615,6785","1,88674795627594","1,465","125088,145",14
6.1,"2847815,1243","2279685,3967","5214615,7365","1,80533421039581","1,465","125086,860",14
6.2,"2847815,3249","2279684,9121","5214614,8145","1,87399661540985","1,465","125084,861",14
6.3,"2847815,1766","2279684,6473","5214614,8850","1,94612371921539","1,465","125083,349",14
6.4,"2847815,0047","2279685,2010","5214616,1638","1,83990228176117","1,465","125082,194",14
6.5,"2847814,8678","2279685,1978","5214616,2090","1,8422657251358","1,465","125081,009",14
6.6,"2847814,4901","2279685,3614","5214615,9593","1,69824659824371","1,465","125079,505",14
6.7,"2847816,0030","2279685,1845","5214616,1933","1,6945995092392","1,465","125078,132",14
6.8,"2847815,7893","2279685,0090","5214616,2349","1,61794698238373","1,638","125076,489",13
6.9,"2847815,3160","2279684,8861","5214616,1830","1,8347487449646","1,465","125074,953",14
7.0,"2847815,2720","2279686,5125","5214615,9778","1,80625641345978","1,770","125074,807",13
7.1,"2847815,7879","2279684,4825","5214616,3756","1,53787779808044","1,465","125071,530",14
7.2,"2847815,9902","2279684,8187","5214616,6255","1,32998383045197","1,465","125069,962",14
7.3,"2847816,0561","2279686,2307","5214617,2177","1,42385363578796","1,770","125069,717",13
7.4,"2847816,3094","2279684,7326","5214616,7477","1,45201575756073","1,465","125066,799",14
7.5,"2847816,6188","2279684,2622","5214616,7308","1,73506903648376","1,465","125065,018",14
7.6,"2847817,0531","2279684,0046","5214617,2087","1,59930038452148","1,465","125063,452",14
7.7,"2847816,8048","2279684,2949","5214617,3523","1,44739317893982","1,465","125061,963",14
7.8,"2847816,7661","2279683,9259","5214616,9768","1,77606797218323","1,465","125060,432",14
7.9,"2847817,0880","2279683,3789","5214616,7208","1,47927963733673","1,465","125058,434",14
8.0,"2847816,0237","2279683,2152","5214616,2559","1,54095613956451","1,465","125056,856",14
8.1,"2847816,6405","2279683,1555","5214616,3744","1,58024823665619","1,465","125055,269",14
8.2,"2847816,8062","2279682,9727","5214616,2398","1,81606721878052","1,465","125053,933",14
8.3,"2847816,2740","2279683,0414","5214616,4825","2,05092287063599","1,465","125052,655",14
8.4,"2847815,7630","2279682,8438","5214616,3197","2,21626615524292","1,465","125051,068",14
8.5,"2847815,4854","2279682,9868","5214616,0504","1,9041188955307","1,465","125049,383",14
8.6,"2847815,6755","2279683,7186","5214615,9744","1,77451527118683","1,465","125048,132",14
8.7,"2847814,2708","2279683,9788","5214615,5167","2,01025104522705","1,465","125046,419",14
8.8,"2847814,0748","2279683,8558","5214615,0882","2,16671347618103","1,465","125044,693",14
8.9,"2847814,5910","2279683,5104","5214614,8914","2,17737436294556","1,465","125043,141",14
9.0,"2847814,5633","2279683,7293","5214615,1878","2,22909688949585","1,464","125041,922",14
9.1,"2847815,2727","2279683,8033","5214616,1553","1,99430668354034","1,464","125040,556",14
9.2,"2847816,1699","2279683,4709","5214616,1880","2,22330713272095","1,464","125039,053",14
9.3,"2847816,6483","2279683,5264","5214616,7763","2,21927762031555","1,464","125037,605",14
9.4,"2847816,7469","2279684,2141","5214617,0961","1,96251130104065","1,464","125036,355",14
9.5,"2847816,0633","2279684,0284","5214616,9279","2,1879506111145","1,464","125034,932",14
9.6,"2847816,4638","2279683,6470","5214616,5375","2,34537291526794","1,464","125033,048",14
9.7,"2847816,6196","2279683,4049","5214616,2710","2,20265865325928","1,464","125031,221",14
9.8,"2847816,0147","2279683,1135","5214615,8752","2,02991032600403","1,464","125029,413",14
9.9,"2847815,7171","2279683,2899","5214616,0035","2,06234312057495","1,464","125027,772",14
10.0,"2847814,8177","2279683,2783","5214615,9525","2,13829064369202","1,464","125026,345",14
10.1,"2847815,6035","2279683,3226","5214616,4733","2,12865281105042","1,464","125025,065",14
10.2,"2847816,0683","2279683,0031","5214616,8747","2,2498984336853","1,464","125023,589",14
10.3,"2847816,1077","2279683,2815","5214617,6522","2,08314633369446","1,464","125022,330",14
10.4,"2847815,3996","2279683,4269","5214617,2414","2,23734426498413","1,464","125020,878",14
10.5,"2847815,6589","2279683,2062","5214617,5391","2,08067679405212","1,464","125019,505",14
10.6,"2847816,3317","2279683,0159","5214617,4747","2,10077214241028","1,464","125017,825",14
10.7,"2847816,4379","2279683,0996","5214617,2815","1,9374053478241","1,464","125016,315",14
10.8,"2847815,8678","2279683,3115","5214617,6300","1,85060167312622","1,464","125015,200",14
10.9,"2847816,4218","2279683,2873","5214617,8549","1,97769117355347","1,464","125013,590",14
11.0,"2847816,6505","2279683,5701","5214617,7385","1,54608607292175","1,464","125011,947",14
11.1,"2847817,3995","2279683,4555","5214617,6123","1,68522465229034","1,464","125010,541",14
11.2,"2847816,9357","2279683,7163","5214617,7203","1,47793972492218","1,464","125009,198",14
11.3,"2847817,0672","2279683,4352","5214617,8873","1,34778797626495","1,464","125007,620",14
11.4,"2847815,8790","2279683,9122","5214617,8388","1,33998692035675","1,464","125006,472",14
11.5,"2847814,9137","2279683,8867","5214617,3528","1,74724662303925","1,464","125004,931",14
11.6,"2847814,9100","2279683,9099","5214617,6149","1,87118852138519","1,464","125003,814",14
11.7,"2847815,0346","2279684,3528","5214617,3368","1,96171772480011","1,464","125002,375",14
11.8,"2847814,5633","2279684,3948","5214617,3477","2,14631128311157","1,464","125000,943",14
11.9,"2847815,2023","2279684,1026","5214617,1282","2,06035685539246","1,464","124999,158",14
12.0,"2847814,6306","2279684,1770","5214616,3949","2,16269683837891","1,464","124997,359",14
12.1,"2847815,0089","2279684,8268","5214616,4334","1,99644601345062","1,464","124995,875",14
12.2,"2847816,1128","2279685,1299","5214616,9358","2,11882543563843","1,464","124994,587",14
12.3,"2847816,9771","2279684,7965","5214616,9577","1,99162888526917","1,464","124993,047",14
12.4,"2847816,5656","2279685,2011","5214617,5398","1,8607896566391","1,464","124991,782",14
12.5,"2847816,4819","2279685,6192","5214617,2069","1,64655804634094","1,464","124990,136",14
12.6,"2847815,9871","2279685,8351","5214616,9612","1,62769210338593","1,464","124988,602",14
12.7,"2847815,9543","2279685,6765","5214616,7215","1,61291074752808","1,464","124986,815",14
12.8,"2847815,7908","2279685,0124","5214616,5684","2,06347441673279","1,464","124985,171",14
12.9,"2847815,7289","2279684,3727","5214616,1317","1,91528189182282","1,464","124982,968",14
13.0,"2847815,4608","2279684,8604","5214616,1117","1,80407881736755","1,464","124981,416",14
13.1,"2847815,7223","2279685,2580","5214616,3647","1,74603533744812","1,464","124979,806",14
13.2,"2847816,0514","2279684,9177","5214616,6481","1,72775268554687","1,464","124978,149",14
13.3,"2847816,0605","2279684,5818","5214616,0044","1,88561046123505","1,464","124976,383",14
13.4,"2847815,5503","2279684,4995","5214616,1965","1,91180205345154","1,464","124974,887",14
13.5,"2847815,8436","2279684,8302","5214615,9330","1,78610301017761","1,464","124973,405",14
13.6,"2847815,9004","2279684,8294","5214615,9149","1,50385165214539","1,464","124971,849",14
13.7,"2847816,8093","2279684,4093","5214616,0739","1,46888637542725","1,464","124970,033",14
13.8,"2847816,4058","2279684,3010","5214615,5963","1,62831270694733","1,464","124968,280",14
13.9,"2847815,7904","2279684,3688","5214615,6375","1,73457610607147","1,464","124966,788",14
14.0,"2847816,1468","2279683,9801","5214616,2921","1,89853572845459","1,464","124965,295",14
14.1,"2847815,9916","2279684,0229","5214616,5890","1,84280622005463","1,464","124963,856",14
14.2,"2847816,5704","2279683,3563","5214616,5925","2,06937575340271","1,464","124962,192",14
14.3,"2847816,6636","2279683,5188","5214616,5559","2,21662664413452","1,464","124960,821",14
14.4,"2847817,0546","2279683,8326","5214616,7428","1,88036227226257","1,464","124959,387",14
14.5,"2847816,7752","2279683,4259","5214616,6045","1,55419945716858","1,464","124957,458",14
14.6,"2847817,7445","2279683,6988","5214617,3923","1,59254014492035","1,464","124956,476",14
